Time	Channel A	Channel B
(ms)	(mV)	(V)

0.77372201	11.90222000	5.79363400
0.77374201	11.10874000	5.79363400
0.77376201	12.69570000	5.79363400
0.77378201	11.90222000	5.79363400
0.77380201	12.69570000	5.79363400
0.77382201	11.10874000	5.79363400
0.77384201	12.69570000	5.79363400
0.77386201	11.90222000	5.79363400
0.77388201	11.10874000	5.79363400
0.77390201	11.90222000	5.79363400
0.77392201	12.69570000	5.79363400
0.77394201	12.69570000	5.79363400
0.77396201	11.90222000	5.79363400
0.77398201	11.90222000	5.79363400
0.77400201	11.90222000	5.79363400
0.77402201	11.90222000	5.79363400
0.77404201	12.69570000	5.79363400
0.77406201	11.10874000	5.79363400
0.77408201	11.90222000	5.79363400
0.77410201	10.31526000	5.79363400
0.77412201	11.10874000	5.79363400
0.77414201	11.10874000	5.79363400
0.77416201	11.10874000	5.79363400
0.77418201	11.10874000	5.79363400
0.77420201	11.90222000	5.79363400
0.77422201	11.10874000	5.79363400
0.77424201	11.10874000	5.79363400
0.77426201	11.90222000	5.79363400
0.77428201	11.10874000	5.79363400
0.77430201	11.10874000	5.79363400
0.77432201	12.69570000	5.79363400
0.77434201	11.10874000	5.79363400
0.77436201	12.69570000	5.79363400
0.77438201	11.10874000	5.79363400
0.77440201	11.10874000	5.79363400
0.77442201	10.31526000	5.79363400
0.77444201	11.10874000	5.79363400
0.77446201	11.90222000	5.79363400
0.77448201	11.10874000	5.79363400
0.77450201	11.10874000	5.79363400
0.77452201	11.10874000	5.79363400
0.77454201	11.10874000	5.79363400
0.77456201	11.10874000	5.79363400
0.77458201	11.10874000	5.79363400
0.77460201	11.90222000	5.79363400
0.77462201	11.10874000	5.79363400
0.77464201	11.10874000	5.79363400
0.77466201	11.10874000	5.79363400
0.77468201	11.10874000	5.79363400
0.77470201	11.10874000	5.79363400
0.77472201	12.69570000	5.71428600
0.77474201	11.10874000	5.79363400
0.77476201	11.90222000	5.79363400
0.77478201	11.10874000	5.79363400
0.77480201	11.90222000	5.79363400
0.77482201	9.52177400	5.79363400
0.77484201	11.10874000	5.71428600
0.77486201	10.31526000	5.79363400
0.77488201	11.10874000	5.79363400
0.77490201	11.10874000	5.79363400
0.77492201	11.10874000	5.79363400
0.77494201	11.10874000	5.79363400
0.77496201	11.10874000	5.79363400
0.77498201	11.10874000	5.79363400
0.77500201	11.10874000	5.79363400
0.77502201	10.31526000	5.79363400
0.77504201	11.10874000	5.79363400
0.77506201	11.10874000	5.79363400
0.77508201	11.10874000	5.79363400
0.77510201	10.31526000	5.79363400
0.77512201	11.10874000	5.79363400
0.77514201	11.10874000	5.79363400
0.77516201	9.52177400	5.79363400
0.77518201	11.10874000	5.79363400
0.77520201	11.10874000	5.79363400
0.77522201	9.52177400	5.79363400
0.77524201	10.31526000	5.79363400
0.77526201	11.90222000	5.79363400
0.77528201	11.90222000	5.79363400
0.77530201	11.10874000	5.79363400
0.77532201	11.10874000	5.79363400
0.77534201	10.31526000	5.79363400
0.77536201	11.10874000	5.79363400
0.77538201	11.10874000	5.71428600
0.77540201	10.31526000	5.79363400
0.77542201	11.10874000	5.79363400
0.77544201	11.10874000	5.79363400
0.77546201	11.10874000	5.79363400
0.77548201	11.10874000	5.79363400
0.77550201	11.10874000	5.79363400
0.77552201	11.10874000	5.79363400
0.77554201	11.10874000	5.79363400
0.77556201	9.52177400	5.71428600
0.77558201	11.10874000	5.79363400
0.77560201	11.10874000	5.79363400
0.77562201	11.10874000	5.79363400
0.77564201	11.10874000	5.79363400
0.77566201	10.31526000	5.79363400
0.77568201	11.10874000	5.79363400
0.77570201	10.31526000	5.79363400
0.77572201	11.10874000	5.79363400
0.77574201	11.10874000	5.79363400
0.77576201	11.10874000	5.79363400
0.77578201	9.52177400	5.79363400
0.77580201	11.10874000	5.79363400
0.77582201	11.10874000	5.79363400
0.77584201	11.10874000	5.79363400
0.77586201	11.10874000	5.79363400
0.77588201	11.10874000	5.79363400
0.77590201	11.10874000	5.79363400
0.77592201	12.69570000	5.79363400
0.77594201	11.10874000	5.79363400
0.77596201	11.10874000	5.79363400
0.77598201	10.31526000	5.79363400
0.77600201	11.10874000	5.79363400
0.77602201	11.10874000	5.79363400
0.77604201	11.10874000	5.79363400
0.77606201	11.10874000	5.79363400
0.77608201	11.10874000	5.79363400
0.77610201	11.10874000	5.79363400
0.77612201	10.31526000	5.79363400
0.77614201	10.31526000	5.79363400
0.77616201	11.10874000	5.79363400
0.77618201	10.31526000	5.79363400
0.77620201	11.10874000	5.79363400
0.77622201	11.10874000	5.79363400
0.77624201	11.10874000	5.79363400
0.77626201	11.10874000	5.79363400
0.77628201	11.10874000	5.79363400
0.77630201	10.31526000	5.79363400
0.77632201	11.10874000	5.79363400
0.77634201	11.10874000	5.79363400
0.77636201	11.10874000	5.79363400
0.77638201	11.10874000	5.79363400
0.77640201	11.10874000	5.79363400
0.77642201	11.10874000	5.79363400
0.77644201	11.10874000	5.79363400
0.77646201	11.10874000	5.79363400
0.77648201	11.10874000	5.79363400
0.77650201	11.10874000	5.79363400
0.77652201	10.31526000	5.79363400
0.77654201	11.10874000	5.79363400
0.77656201	11.10874000	5.79363400
0.77658201	9.52177400	5.79363400
0.77660201	9.52177400	5.79363400
0.77662201	10.31526000	5.79363400
0.77664201	10.31526000	5.79363400
0.77666201	9.52177400	5.79363400
0.77668201	10.31526000	5.79363400
0.77670201	10.31526000	5.79363400
0.77672201	10.31526000	5.79363400
0.77674201	11.10874000	5.79363400
0.77676201	11.10874000	5.79363400
0.77678201	10.31526000	5.79363400
0.77680201	10.31526000	5.79363400
0.77682201	11.10874000	5.79363400
0.77684201	10.31526000	5.79363400
